,DGUID,Buddhist_total,Buddhist_men,Buddhist_women,Christian_total,Christian_men,Christian_women,Hindu_total,Hindu_men,Hindu_women,Jewish_total,Jewish_men,Jewish_women,Muslim_total,Muslim_men,Muslim_women,No_religion_total,No_religion_men,No_religion_women,Other_religions_total,Other_religions_men,Other_religions_women,Sikh_total,Sikh_men,Sikh_women,Indigenous_spirituality_total,Indigenous_spirituality_men,Indigenous_spirituality_women
0,2021A000011124,356975.0,157435.0,199540.0,19373325.0,9131320.0,10242005.0,828195.0,430135.0,398060.0,335295.0,164220.0,171070.0,1775715.0,904205.0,871510.0,12577475.0,6619395.0,5958080.0,229015.0,97645.0,131370.0,771790.0,394345.0,377445.0,80685.0,38460.0,42230.0
1,2021A000210,490.0,240.0,250.0,413915.0,199150.0,214765.0,1200.0,720.0,485.0,240.0,115.0,125.0,3995.0,2085.0,1910.0,80330.0,42965.0,37370.0,965.0,375.0,585.0,855.0,490.0,365.0,105.0,50.0,55.0
2,2021A000211,755.0,315.0,435.0,101755.0,47920.0,53830.0,1245.0,835.0,410.0,165.0,80.0,85.0,1720.0,985.0,735.0,42830.0,22390.0,20445.0,765.0,295.0,470.0,1165.0,685.0,485.0,75.0,30.0,45.0
3,2021A000212,2955.0,1300.0,1655.0,556115.0,256255.0,299860.0,8460.0,4895.0,3565.0,2195.0,1130.0,1070.0,14715.0,8025.0,6690.0,359395.0,188580.0,170820.0,6195.0,2570.0,3625.0,4735.0,2620.0,2115.0,1090.0,485.0,605.0
4,2021A000213,1120.0,615.0,500.0,512645.0,241975.0,270670.0,3340.0,1980.0,1365.0,1000.0,540.0,460.0,9190.0,4990.0,4205.0,225125.0,120460.0,104660.0,3990.0,1590.0,2400.0,1780.0,940.0,840.0,1005.0,490.0,515.0
5,2021A000224,48365.0,21395.0,26980.0,5385240.0,2596385.0,2788855.0,47390.0,25045.0,22345.0,84530.0,41470.0,43065.0,421710.0,218255.0,203455.0,2267720.0,1197655.0,1070065.0,26385.0,12370.0,14010.0,23345.0,12385.0,10960.0,3790.0,1900.0,1895.0
6,2021A000235,164215.0,73715.0,90500.0,7315810.0,3410290.0,3905520.0,573700.0,295980.0,277720.0,196100.0,96075.0,100020.0,942990.0,474965.0,468025.0,4433675.0,2335900.0,2097770.0,88845.0,37840.0,51000.0,300435.0,155390.0,145040.0,15985.0,7400.0,8580.0
7,2021A000246,7440.0,3365.0,4080.0,708850.0,335490.0,373365.0,18355.0,10005.0,8350.0,11565.0,5685.0,5875.0,26430.0,13960.0,12470.0,480315.0,254700.0,225615.0,8570.0,3665.0,4910.0,35470.0,18625.0,16850.0,10190.0,4735.0,5455.0
8,2021A000247,4410.0,2085.0,2330.0,621250.0,294000.0,327255.0,14150.0,7865.0,6285.0,1105.0,570.0,535.0,25455.0,13285.0,12165.0,403960.0,215895.0,188060.0,7540.0,3240.0,4295.0,9040.0,4715.0,4320.0,16300.0,7830.0,8465.0
9,2021A000248,42830.0,19140.0,23690.0,2009820.0,952440.0,1057385.0,78520.0,40435.0,38085.0,11390.0,5475.0,5915.0,202535.0,103635.0,98900.0,1676045.0,890645.0,785400.0,33220.0,14325.0,18905.0,103600.0,52505.0,51100.0,19755.0,9640.0,10120.0
10,2021A000259,83860.0,35040.0,48825.0,1684870.0,766705.0,918165.0,81320.0,42070.0,39245.0,26850.0,12980.0,13870.0,125915.0,63375.0,62535.0,2559250.0,1324585.0,1234660.0,51440.0,20890.0,30555.0,290870.0,145740.0,145130.0,11570.0,5495.0,6075.0
